questions,answers
hi,Hello
hello,helu
yo,heluu
good bye,Goodbye
what is your name?,Jarvis
hii,hello how are you?
fine,good to here
What you doing, You can ask me a questions
how can you help me?,"I am chatbot, I can provide you with information"
Hello,Hi
Hi,Hello
Hey,Hi
Greetings,Hi
Hey There,Hey
"Hi, How is it going?",Good
"Hey, How is it going?",Fine
Howdy,Hey
Whatsup,Nothing much
How are you doing?,Good
Nice to meet you.,Thank you
How do you do?,I'm doing well.
"Hi, nice to meet you.",Thank you. You too.
Bye,C U
C U,Bye
Tata,Bye
Good Morning,Good Morning
Good Afternoon,Good Afternoon
Good Evening,Good Evening
Good Day,Good Day
What's up?,Not much